"安徽一男子给狗取名""城管""，被行政拘留十日…                 ",这种繁体的……;这TMD口袋罪，早晚要废除它！罪刑法定路上的阻碍！;;,06月13日 04:49    ,rumor
#流浪动物保护黑名单[超话]# 11日绍兴城管对有主人带牵引绳得狗进行恶意抓捕12日临海城管对于在自家花场里溜达的狗不询问是否有狗证进行暴力打狗图7为绍兴市养犬管理方案，没有规定说对有主狗，带牵引绳的狗可以随意进行抓捕图8，9为临海市养犬方案，对于有主人没有狗证的狗没有规定可以当场打死@临海公安 @绍兴公安 @临海检察 @绍兴市市场监督管理局,;每到四五月都会出现 中国特色 答🐶队;#流浪动物保护黑名单[超话]##反动物虐待[超话]##绍兴越城区城管上演全武行# #反虐猫组织[超话]#城管暴力执法，欺压百姓，虐待动物，滥用私权，目无王法，@黄家人2008 你们和恶霸土匪有什么区别，拿着纳税人的钱 却不干人事，请相关部门严肃处理@绍兴发布 @绍兴公安;,05月13日 08:42    ,rumor
绍兴城管5月11日上午十点左右，公然围攻抢有主人带有牵绳的狗，在温馨花园城管在抢一个工人的狗，狗的主人是农民工，狗没有伤人，还牵着狗绳，请大家发声，主人拼尽全力保护自己的爱犬，却被城管部门拼命抢夺其手上的狗！狗是主人的私有财产，城管野蛮执法严重违反巜物权法》。#导演曾伏虎##中华田园犬##安徽合肥拟禁养中华田园犬##中华田园犬不给办狗证##绍兴#                ,回复@桃馅鱼丸:我听说那个是被他们取掉以后拍的照，假的。;回复@导演曾伏虎:越城普法已经配图了。就是没牵绳。;为何你们喷博主？不明白，看到不对的事情不是要发声的吗？不要以为事情没发生自己身上，也许某天某件事你就会体会到这种不文明不讲道理的事情;,05月13日 15:44    ,rumor
#奶奶偶遇消防员孙子却挥手让他走##战士冒冰雹翻单杠604个破纪录##吉林火车站暂停办理乘车业务##新冠肺炎还会与人类共存很长时间##汶川地震搜救犬沈虎遗像落成#转：0575—12345投诉绍兴市越城区城管中队用野蛮执法代替文明宣传的违规行为！👉 【事由】：5月11日上午10点左右，一名群众带着自己的狗从农村到市区洗澡剃毛，在绍兴市越城区凤江路温馨花园大街上遇到了路过的犬管办行政执法车。城管用钳子夹住狗狗的头拖到车上，狗主人为了狗狗不受伤害，也上车一直抱着狗不让他们带走。附近的路人全部求城管放狗主人和狗一马，但城管不肯，并报了警。警察来了，帮着城管四五个人一起把狗抢走了。狗是主人的全部，主人拼尽全力保护自己的爱犬，却被现场警察和城管部门拼命压制主人抢夺其手上的狗！ 狗是主人的私有财产，城管野蛮粗暴执法严重违反了中华人民共和国法律巜物权法》严重侵犯了老百姓私有财产合法权益！光天化日众目睽睽之下，身穿警服伙同城管强力暴力压制抢夺一名进城给狗冼澡群众的狗，中国的哪条法律规定了农村人不可以带狗去城里洗澡，违反了哪条法律法规宪法？没有法律根据，胡乱抓人抓狗，谁赋予了城管如此暴力野蛮执法？请大家每人每天打电话投诉举报绍兴城管非法抢夺主人私有财产违法暴力野蛮行为！地址：绍兴市越城 区凤江路城南街道温馨花园 绍兴市越城区综合行政执法局地址：胜利东路219号 受理投诉电话,"揪出心怀鬼胎别有用心作恶制造乱的破坏份子  发现作恶制造乱的破坏份子立即举报    要求    动物福利   立法保护动物  让真正的大爱救助人管理照顾流浪动物    公示    仇恨  愤世   变态   精神问题   心里问题   凶残恶毒的暴徒   重刑重罚作恶制造乱的破坏份子 @辛苦为谁忙:狗收走，狗主人拘留。;现场执法公安民警该做啥、不该做啥，这里有标准答案   首发！一图解读 | 现场执法，公安民警应练就哪些“绝招”？(全是干货，建议收藏)   【聚焦】执法记录仪对于警察有多重要？这几个案例足够让你警醒！   关注丨城管到底管什么？该怎么执法？这回全要规定清楚了  新华社评论：城管执法办法不可""越位揽权""      物业有权处死流浪动物吗？打狗队可以入户抓狗吗？投毒毒狗违法吗？  http://t.cn/A6wQ0L5s   @辛苦为谁忙:狗收走，狗主人拘留。;揭秘反动保～”黑产”及“虐杀组织”成员的真实身份！  我们为什么要爱国？  爱国，就是做最好的自己！ 境外间谍策反手段曝光！窃密方式细思极恐……   过程曝光！某部委干部被境外间谍色诱策反 被判死缓     真相堪比谍战大片！窃我尖端武器机密间谍落网记   你若光明，中国便不黑暗  阴暗网络空间下的“黑色恐怖”  新华社评论员：看清香港乱局的由来和本质   http://t.cn/A6wQ0L5s      http://t.cn/A6wQ0L5s    http://t.cn/A6wQ0L5s;",05月13日 21:29    ,rumor
全民抗议暴力执法！全民控诉暴力执法！#强烈抗议绍兴市越城区城管中队暴力执法#！人神共愤，绍兴越城区城管在众目睽睽之下进行山寨土匪式的野蛮执法，私自强行抢走老百姓的私有财产引众恏公疑！滥用国家公权力进行野蛮粗暴行政执法！人民赋予你们服务于民的职责，不是#滥用公权力欺负人民群众#？国家行政执法人员应允的工作态度和方式方法！#不忘初心，牢记使命#在绍兴越城区难道是一句戏言？请代表国家和人民喉舌，传播正能量的媒体站出来主持公道！这些年＂以创文明打狗抓狗＂发狗难财的地方政府，你们拿着动物残虐的鲜血祭奠国徽下的赋予的为人民服务的职责，令世人不耻。绍义城管抢狗事态进展：#强烈要求绍兴越城区城管归还农民工的忠犬##请别滥用公权力滥杀无辜的动物#！被城管抢狗的农民工从5月11日至5月13日已经自杀过两次，躺上马路上晕倒不吃不喝？快出人命啦这条忠犬是农民工的好伙伴，至亲的亲人！你们有什么权利让他们生死各一方？重要的事说三遍：这条忠犬一直和农民工生活在农村，村民可以证实！农民工当天带这条忠犬进城洗澡美容何错之有？绍兴越城区的城管父母官们，你们，不问青红皂白抓狗？用公权力打压老实的农民大叔？你们，为何删除评论，歪曲事实真相，农民工倒地撕心裂肺的哭喊声的镜头呢？，一群人按倒农民工硬拉硬抢的镜头呢？视频为何全都作处理呢？你们，年年抓狗，狗的后续呢？狗的后续呢？狗的后续呢？尸位素餐的后面就是＂抢＂？卖给绍兴众多狗肉馆了？不是？👉 【事由】：5月11日上午10点左右，一名群众带着自己的狗从农村到市区洗澡剃毛，在绍兴市越城区凤江路温馨花园大街上遇到了路过的犬管办行政执法车。城管用钳子夹住狗狗的头强行拖上车，犬主人和群众请求城管可不可以不抓走犬只？，但城管不肯，并报了警。警察来了，帮着城管四五个人一起把狗抢走！#公安局局长发话##绍警有话#@绍兴越城公安 @绍兴公安  试问绍兴越城区城管及相关职能部门：1，中国的哪条法律规定了农村人不可以带狗去城里洗澡美容？违反了哪条法律法规及宪法？2，城管回复这条犬只是禁养犬？但这条犬只平时并没有在禁养区生活，并且是牧羊犬杂交串串，你们不问青红皂白就胡乱抓捕，目的和用意何在？3，你们兴师动众，开着浩浩荡荡的队伍抓狗，毎年抓捕的这些犬只何去何从啦？狗的后续呢？广大人民群众严重质疑你们背后真正的目的和用意是什么？4，这条忠犬是狗主人的私有财产，城管野蛮粗暴执法严重违反了中华人民共和国法律巜物权法》严重侵犯了老百姓私有财产合法权益！5，据悉，绍兴狗肉馆众多，黑产猖獗，为何你们不去狗肉馆，私屠滥宰黑窝点，涉嫌偷盗毒抢的犬只，未经检验检疫的毒狗肉，抓人报警？你们和狗肉馆有利益链关系？6，黑狗市肆意交易的犬只，肆意繁殖场，无证黑狗市的犬只连狗证都沒有不去不闻不问？反而盯着老百姓的家养伴侣动物不放？抢狗地址：绍兴市越城 区凤江路城南街道温馨花园 。绍兴市越城区综合行政执法局地址：胜利东路219号 市长热线：0575-12345受理投诉电话,有人说，这是不实信息，真话都不真;国家拿钱养的流氓地皮，暴力执法，不顾老陌性的生命材产安全！要求开除！将永远不再恢复职业！;绍兴犬办扭曲事实断章取义视频，和看到的现场视频完全不一样暴力执法部分被剪掉，现场视频中民工只在哭没有辱骂，没有反抗只是抱着自己的狗，执法人员在暴力抢夺，最主要的是这只狗不是德牧，犬办每月都抓那么多狗不认识德牧吗？这只是一只黑色杂交土狗，犬办知道曝光度高特意自己上新闻洗白自己，作秀;,05月14日 11:01    ,rumor
#城管群殴农民工：疑只因不让抢狗##绍兴越城区城管上演全武行#5月11日早晨十点左右，绍兴市越城区风江路城南街道城管在温馨花园暴力抢夺一位农民工的家养犬只。据目击者称，该犬已缚牵引绳。城管暴力抢夺农民工犬只，后演变成群殴。这种土匪般行径引发围观群众强烈愤慨。消息来自网友爆料。 http,注意：以上只是之后部分片段，重要片段被删了。;http://t.cn/A6AmxKhe;,05月13日 02:45    ,rumor
@所有人，绍兴城管5月11日上午十点左右，公然围攻抢有主人带有牵绳的狗，在温馨花园 城管在抢一个工人的狗，狗的主人是农民工，狗没有伤人，还牵着狗绳，请大家发声。[心碎][心碎][心碎][心碎]狗是主人的全部，主人拼尽全力保护自己的爱犬，却被城管部门拼命抢夺其手上的狗！ 狗是主人的私有财产，城管野蛮粗暴执法严重违反了巜物权法》！请大家打电话投诉举报绍兴城管非法抢夺主人私有财产的违法行为！地址：绍兴市越城 区凤江路城南街道温馨花园 。绍兴市越城区综合行政执法局地址：胜利东路219号 受理投诉电话,有主人的狗，且牵绳的，又没攻击人，凭什么抢夺他人的财产！;都他妈闲的蛋疼，拿着国家的钱，穿着国家给的皮，不干人事……难道绍兴城管部门没有可执法的地方了么？城市的文明程度并不取决于有人牵狗上街，而是人们对待弱小生命的态度……野蛮暴力执法！真让国人大跌眼镜;人心比狗可怕！;,05月12日 14:54    ,rumor
关于绍兴城管抢夺有主犬只的暴力行为，大家继续打0575—12345投诉绍兴市越城区城管中队用野蛮执法代替文明宣传的违规行为👉 【诉求】：1.将当天抓捕的犬只还给主人！没有任何法律法规规定，农村养的狗不可以进城洗澡美容看病！2.对当天野蛮执法的越城区城管队员，以及5月12日回复的人员，作出严肃处理，并对广大群众通报！👿 鲁迅故里，绍兴城区，怎么能允许这样的事情发生？倘若鲁迅先生还在世，他该有多愤怒？又会写出怎样的文章，针贬如今基层执法人员丑恶的嘴脸？？！[发怒] http,你在现场？;视频里明明有狗绳，当我们眼睛瞎了？;关于这件事有很多谣言，要小心啊;,05月13日 12:24    ,rumor
我是一名普通的农民工走入人群中似乎会遭人嫌弃因此我尽量远离人群但是我依然自信满满因为我有爱犬陪伴无数个日日夜夜的陪伴伪然我亲爱的孩子一样我收入不高我舍不得为自己吃穿用但我舍得为我爱犬付出一切5月11日我带爱犬美容享受狗生没想到成了恶梦穿着城管制服的他们为了所谓的创文明城市粉碎了我为孩子享受狗生的权力强力暴力野蛮疯抢我怀里的孩子我呐喊哭吼拼尽全力拥抱我的孩子怀里的孩子因为有我的拥抱备感安全没有发出任何声音它把头扎在我怀里它还是个孩子呀无奈我寡不敌众最终我的嘶吼哭喊没能抱紧你我们分开了我的孩子如今你在哪里你可曾知道你是我的全部没了你的世界我可怎么活下去为了你我自杀了两次亲爱的宝贝又是一个漫漫长夜5月11日至今5月13日又是一个不眠之夜宝贝，我的宝贝你在哪里你在哪里我们今生还能相见吗你还能再次让我抱抱你，亲亲你吗你还能再次跟我嬉戏玩耍打闹吗此生我最爱的宝贝你现在在哪里[流泪][流泪][流泪][流泪]孩子，对不起没能保护你孩子，对不起[流泪][流泪][流泪][流泪],孩子对，对不起。中国没能保护你;这么多人欺负一个 什么道理？@中国警方在线 @绍兴公安 你们不要被一个叫梨花又开放的发言给蒙骗了 他在一个叫亚洲领养日的群里，而前不久山西高校那个被查的老师就是他们群的！;好气，真的好气，我们不是奴隶，我们是人，我们的狗也是私有财产，为什么城市不让养大狗？凭什么你们可以轻易夺走我们的私有财产？狗跟孩子一样，你们这是在践踏人家的感情，杀害人家的孩子;,05月14日 00:12    ,rumor
#绍兴越城区城管上演全武行##农民工##绍兴##绍兴[超话]#5月11日早晨十点左右，绍兴市越城区风江路城南街道城管在温馨花园暴力抢夺一位农民工的家养犬只，该犬已缚牵引绳，几个城管用武力抢夺老百姓的私人财产，这种土匪作风激起民愤。#不忘初心##不忘初心 牢记使命# 现在是文明社会，政府和执法部门都应该文明执法，用沟通和协商的态度作为工作基本方式，而不是用暴力管制自己的市民，政府不是应该保护老百姓的人身安全和私有财产吗？强烈要求对暴力执法的工作人员向公众道歉认错，改正工作方式，端正工作态度，并且对暴力执法的工作人员给与处分。同时返还农民工的私有财产。@中国新闻网 @新闻晨报 @新浪户外 @央视新闻 @央视新闻调查 @中国普法 @中国文明网 @中国政府网 @中国新闻网 @中国新闻周刊 @人民日报 @人民日报海外版-海外网 @人民网 @人民微博 @新华网 @新华视点 @联合国 @世界卫生组织 @浙江发布 @绍兴发布,欺软怕硬，欺负底层的老百姓，这就是国家公务人员该有的样子吗？;现在是文明社会，政府和执法部门都应该文明执法，用沟通和协商的态度作为工作基本方式而不是用暴力管制自己的市民，政府不是应该保护老百姓的人身安全和私有财产吗@中国新闻网 @央视新闻 @央视新闻调查 @中国普法 @中国文明网 @中国政府网 @中国新闻网 @中国新闻周刊 @人民日报 @人民网  @新华网;心疼这位工人，更担心狗狗的安危;,05月12日 13:50    ,rumor
#流浪动物保护黑名单[超话]##绍兴越城区城管上演全武行# 请大家拨打绍兴市城市管理行政执法局电话0575-96310，拨打之后其会转接到绍兴政府热线，然后就可以进行投诉举报了；绍兴城管0575-85226687。绍兴城管5月11日上午十点左右，公然围攻抢有主人带有牵绳的黑狗，在绍兴市越城区凤江路城南街道温馨花园，城管违法在抢一个工人的狗，狗的主人是农民工，狗没有伤人，还牵着狗绳，请大家发声！谢谢🙏🏻！狗是主人的全部，主人拼尽全力保护自己的爱犬，却被城管部门拼命抢夺其手上的狗！狗是主人的私有财产，城管野蛮粗暴执法严重违反了巜物权法》！请大家打电话投诉举报绍兴城管非法抢夺主人私有财产的违法行为！要求向工人道歉！归还狗狗！赔偿损失！严惩执法负责人！！！ 👉 http,有没有当地派出所电话？！是哪个派出所出警的？！给一个电话，我也打！;看他们发的通报。视频中的狗狗明显有牵引绳，不存在违规行为。 评论配图;今天打电话投诉的人有点多 整个救助圈都在打 可能会出现打不通的情况 大家稍安勿躁 可以一天打几个 一天打几个 总会打通的。;,05月12日 16:50    ,rumor
